" ""List Price ($)"""," ""Living Space (sq ft)"""," ""Beds"""," ""Baths"""," ""Zip"""," ""Year"""
250000,2222,3,3.5,32312,1981
185000,1628,3,2,32308,2009
399000,3824,5,4,32312,1954
150000,1137,3,2,32309,1993
315000,3560,6,4,32309,1973
699000,2893,4,3,32312,1994
649000,3631,4,3,32309,1996
399000,2483,4,3,32312,2016
613000,2400,4,4,32312,2002
295000,1997,3,3,32311,2006
290000,2097,4,3,32311,2016
465000,3200,5,4,32312,1964
799900,4892,5,6,32311,2005
89000,1128,2,1,32303,1955
143000,1381,3,2,32301,2006
569000,4242,4,5,32303,2007
155000,1158,3,2,32303,1993
289000,2497,4,4,32309,1990
549900,4010,5,3,32309,2002
